,func,target,project
41,"    function activeBonusCacl_3() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
42,"	  function buyTicket_re_ent23() public{
	    if (!(lastPlayer_re_ent23.send(jackpot_re_ent23)))
        revert();
      lastPlayer_re_ent23 = msg.sender;
      jackpot_re_ent23    = address(this).balance;
    }",True,buggy_19.sol
43,"    function activeBonusCacl_4() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
44,"function callme_re_ent14() public{
        require(counter_re_ent14<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent14 += 1;
    }",True,buggy_19.sol
45,"    function activeBonusCacl_5() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
46,"	  function buyTicket_re_ent30() public{
	    if (!(lastPlayer_re_ent30.send(jackpot_re_ent30)))
        revert();
      lastPlayer_re_ent30 = msg.sender;
      jackpot_re_ent30    = address(this).balance;
    }",True,buggy_19.sol
47,"    function activeBonusCacl_6() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
48,"    function withdraw_balances_re_ent8 () public {
       (bool success,) = msg.sender.call.value(balances_re_ent8[msg.sender ])("""");
       if (success)
          balances_re_ent8[msg.sender] = 0;
      }",True,buggy_19.sol
49,"    function activeBonusCacl_7() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
50,"function claimReward_re_ent39() public {        
        require(redeemableEther_re_ent39[msg.sender] > 0);
        uint transferValue_re_ent39 = redeemableEther_re_ent39[msg.sender];
        msg.sender.transfer(transferValue_re_ent39);    
        redeemableEther_re_ent39[msg.sender] = 0;
    }",True,buggy_19.sol
51,"    function activeBonusCacl_8() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
52,"    function withdraw_balances_re_ent36 () public {
       if (msg.sender.send(balances_re_ent36[msg.sender ]))
          balances_re_ent36[msg.sender] = 0;
      }",True,buggy_19.sol
53,"    function activeBonusCacl_9() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
54,"function callme_re_ent35() public{
        require(counter_re_ent35<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent35 += 1;
    }",True,buggy_19.sol
55,"    function teamAddBonusCacl() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
56,"function withdrawBalance_re_ent40() public{
        (bool success,)=msg.sender.call.value(userBalance_re_ent40[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent40[msg.sender] = 0;
    }",True,buggy_19.sol
57,"    function caclTeamPerformance() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
58,"function withdrawBalance_re_ent33() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent33[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent33[msg.sender] = 0;
    }",True,buggy_19.sol
59,"    function releaStaticBonus() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
60,"function bug_re_ent27() public{
        require(not_called_re_ent27);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent27 = false;
    }",True,buggy_19.sol
61,"    function releaActiveBonus() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
62,"function withdrawFunds_re_ent31 (uint256 _weiToWithdraw) public {
        require(balances_re_ent31[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent31[msg.sender] -= _weiToWithdraw;
    }",True,buggy_19.sol
63,"    function releaTeamAddBonus() onlyOwner public{
        require(msg.sender == owner, ""only owner can use this method""); 
        msg.sender.transfer(address(this).balance);
    }",False,buggy_19.sol
64,"function bug_re_ent13() public{
        require(not_called_re_ent13);
        (bool success,)=msg.sender.call.value(1 ether)("""");
        if( ! success ){
            revert();
        }
        not_called_re_ent13 = false;
    }",True,buggy_19.sol
65,"    function transferFrom(address from, address to, uint256 value) external returns (bool);",False,buggy_31.sol
66,    function signer() external view returns (address _signer);,False,buggy_31.sol
67,"    function recover(bytes32 hash, bytes memory signature) internal pure returns (address) {
        if (signature.length != 65) {
            return (address(0));
        }
        bytes32 r;
        bytes32 s;
        uint8 v;
        assembly {
            r := mload(add(signature, 0x20))
            s := mload(add(signature, 0x40))
            v := byte(0, mload(add(signature, 0x60)))
        }
        if (uint256(s) > 0x7FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF5D576E7357A4501DDFE92F46681B20A0) {
            return address(0);
        }
        if (v != 27 && v != 28) {
            return address(0);
        }
        return ecrecover(hash, v, r, s);
    }",False,buggy_31.sol
68,"function withdrawFunds_re_ent38 (uint256 _weiToWithdraw) public {
        require(balances_re_ent38[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent38[msg.sender] -= _weiToWithdraw;
    }",True,buggy_31.sol
69,"function withdrawFunds_re_ent31 (uint256 _weiToWithdraw) public {
        require(balances_re_ent31[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent31[msg.sender] -= _weiToWithdraw;
    }",True,buggy_31.sol
70,"function callme_re_ent14() public{
        require(counter_re_ent14<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent14 += 1;
    }",True,buggy_31.sol
71,"    function owner() public view returns (address) {
        return _owner;
    }",False,buggy_31.sol
72,"	  function buyTicket_re_ent30() public{
	    if (!(lastPlayer_re_ent30.send(jackpot_re_ent30)))
        revert();
      lastPlayer_re_ent30 = msg.sender;
      jackpot_re_ent30    = address(this).balance;
    }",True,buggy_31.sol
73,"    function isOwner() public view returns (bool) {
        return msg.sender == _owner;
    }",False,buggy_31.sol
74,"    function withdraw_balances_re_ent8 () public {
       (bool success,) = msg.sender.call.value(balances_re_ent8[msg.sender ])("""");
       if (success)
          balances_re_ent8[msg.sender] = 0;
      }",True,buggy_31.sol
75,"    function transferOwnership(address newOwner) public onlyOwner {
        _transferOwnership(newOwner);
    }",False,buggy_31.sol
76,"function claimReward_re_ent39() public {        
        require(redeemableEther_re_ent39[msg.sender] > 0);
        uint transferValue_re_ent39 = redeemableEther_re_ent39[msg.sender];
        msg.sender.transfer(transferValue_re_ent39);    
        redeemableEther_re_ent39[msg.sender] = 0;
    }",True,buggy_31.sol
77,"    function _transferOwnership(address newOwner) internal {
        require(newOwner != address(0), ""Ownable: new owner is the zero address"");
        emit OwnershipTransferred(_owner, newOwner);
        _owner = newOwner;
    }",False,buggy_31.sol
78,"    function withdraw_balances_re_ent36 () public {
       if (msg.sender.send(balances_re_ent36[msg.sender ]))
          balances_re_ent36[msg.sender] = 0;
      }",True,buggy_31.sol
79,"function claimReward_re_ent4() public {        
        require(redeemableEther_re_ent4[msg.sender] > 0);
        uint transferValue_re_ent4 = redeemableEther_re_ent4[msg.sender];
        msg.sender.transfer(transferValue_re_ent4);    
        redeemableEther_re_ent4[msg.sender] = 0;
    }",True,buggy_31.sol
80,"function callme_re_ent35() public{
        require(counter_re_ent35<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent35 += 1;
    }",True,buggy_31.sol
81,"function callme_re_ent7() public{
        require(counter_re_ent7<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent7 += 1;
    }",True,buggy_31.sol
82,"	  function buyTicket_re_ent23() public{
	    if (!(lastPlayer_re_ent23.send(jackpot_re_ent23)))
        revert();
      lastPlayer_re_ent23 = msg.sender;
      jackpot_re_ent23    = address(this).balance;
    }",True,buggy_31.sol
83,"function bug_re_ent13() public{
        require(not_called_re_ent13);
        (bool success,)=msg.sender.call.value(1 ether)("""");
        if( ! success ){
            revert();
        }
        not_called_re_ent13 = false;
    }",True,buggy_31.sol
84,"function withdrawBalance_re_ent40() public{
        (bool success,)=msg.sender.call.value(userBalance_re_ent40[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent40[msg.sender] = 0;
    }",True,buggy_31.sol
85,"    function execute(
        address _to, 
        uint256 _value, 
        uint256 _fee, 
        bytes calldata _signature
    ) nonReentrant external {
        require(tx.origin == relayer, ""Invalid transaction origin"");
        Marmo marmo = Marmo(msg.sender);
        bytes32 hash = keccak256(
            abi.encodePacked(
                _to,
                _value,
                _fee
            )
        );
        require(marmo.signer() == ECDSA.recover(hash, _signature), ""Invalid signature"");
        require(token.transferFrom(msg.sender, _to, _value));
        require(token.transferFrom(msg.sender, relayer, _fee));
    }",False,buggy_31.sol
86,"function withdrawBalance_re_ent33() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent33[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent33[msg.sender] = 0;
    }",True,buggy_31.sol
87,"    function setRelayer(address _newRelayer) onlyOwner external {
        require(_newRelayer != address(0));
        emit NewRelayer(relayer, _newRelayer);
        relayer = _newRelayer;
    }",False,buggy_31.sol
88,"function bug_re_ent27() public{
        require(not_called_re_ent27);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent27 = false;
    }",True,buggy_31.sol
89,"	  function buyTicket_re_ent9() public{
	    (bool success,) = lastPlayer_re_ent9.call.value(jackpot_re_ent9)("""");
	    if (!success)
	        revert();
      lastPlayer_re_ent9 = msg.sender;
      jackpot_re_ent9    = address(this).balance;
    }",True,buggy_25.sol
90,"function claimReward_re_ent25() public {        
        require(redeemableEther_re_ent25[msg.sender] > 0);
        uint transferValue_re_ent25 = redeemableEther_re_ent25[msg.sender];
        msg.sender.transfer(transferValue_re_ent25);    
        redeemableEther_re_ent25[msg.sender] = 0;
    }",True,buggy_25.sol
91,"function withdrawBalance_re_ent19() public{
        if( ! (msg.sender.send(userBalance_re_ent19[msg.sender]) ) ){
            revert();
        }
        userBalance_re_ent19[msg.sender] = 0;
    }",True,buggy_25.sol
92,"    function withdraw_balances_re_ent36 () public {
       if (msg.sender.send(balances_re_ent36[msg.sender ]))
          balances_re_ent36[msg.sender] = 0;
      }",True,buggy_25.sol
93,"function callme_re_ent35() public{
        require(counter_re_ent35<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent35 += 1;
    }",True,buggy_25.sol
94,"function withdrawBalance_re_ent40() public{
        (bool success,)=msg.sender.call.value(userBalance_re_ent40[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent40[msg.sender] = 0;
    }",True,buggy_25.sol
95,"function withdrawBalance_re_ent33() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent33[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent33[msg.sender] = 0;
    }",True,buggy_25.sol
96,"function bug_re_ent27() public{
        require(not_called_re_ent27);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent27 = false;
    }",True,buggy_25.sol
97,"function withdrawFunds_re_ent31 (uint256 _weiToWithdraw) public {
        require(balances_re_ent31[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent31[msg.sender] -= _weiToWithdraw;
    }",True,buggy_25.sol
98,"function bug_re_ent13() public{
        require(not_called_re_ent13);
        (bool success,)=msg.sender.call.value(1 ether)("""");
        if( ! success ){
            revert();
        }
        not_called_re_ent13 = false;
    }",True,buggy_25.sol
99,"function withdrawBalance_re_ent26() public{
        (bool success,)= msg.sender.call.value(userBalance_re_ent26[msg.sender])("""");
        if( ! success ){
            revert();
        }
        userBalance_re_ent26[msg.sender] = 0;
    }",True,buggy_25.sol
100,"  function setOpenStatus(uint64 _fixtureId, uint8 _open_status) external onlyOwner {
    gameList[_fixtureId].open_status = _open_status;
  }",False,buggy_25.sol
101,"function bug_re_ent20() public{
        require(not_called_re_ent20);
        if( ! (msg.sender.send(1 ether) ) ){
            revert();
        }
        not_called_re_ent20 = false;
    }",True,buggy_25.sol
102,"  function changeOdd (uint64 _fixtureId, uint32 _odd_homeTeam, uint32 _odd_drawTeam, uint32 _odd_awayTeam, uint32 _odd_over, uint32 _odd_under, uint32 _odd_homeTeamAndDraw, uint32 _odd_homeAndAwayTeam , uint32 _odd_awayTeamAndDraw ) external onlyOwner {
    gameList[_fixtureId].odd_homeTeam        = _odd_homeTeam;
    gameList[_fixtureId].odd_drawTeam        = _odd_drawTeam;
    gameList[_fixtureId].odd_awayTeam        = _odd_awayTeam;
    gameList[_fixtureId].odd_over            = _odd_over;
    gameList[_fixtureId].odd_under           = _odd_under;
    gameList[_fixtureId].odd_homeTeamAndDraw = _odd_homeTeamAndDraw;
    gameList[_fixtureId].odd_homeAndAwayTeam = _odd_homeAndAwayTeam;
    gameList[_fixtureId].odd_awayTeamAndDraw = _odd_awayTeamAndDraw;
    emit ChangeOdd (_fixtureId, _odd_homeTeam, _odd_drawTeam, _odd_awayTeam, _odd_over, _odd_under, _odd_homeTeamAndDraw, _odd_homeAndAwayTeam , _odd_awayTeamAndDraw);
  }",False,buggy_25.sol
103,"function claimReward_re_ent32() public {        
        require(redeemableEther_re_ent32[msg.sender] > 0);
        uint transferValue_re_ent32 = redeemableEther_re_ent32[msg.sender];
        msg.sender.transfer(transferValue_re_ent32);    
        redeemableEther_re_ent32[msg.sender] = 0;
    }",True,buggy_25.sol
104,"  function setGameInfo (uint64 _fixtureId, uint256 _timestamp, uint32 _odd_homeTeam, uint32 _odd_drawTeam, uint32 _odd_awayTeam, uint32 _odd_over, uint32 _odd_under, uint32 _odd_homeTeamAndDraw, uint32 _odd_homeAndAwayTeam , uint32 _odd_awayTeamAndDraw, uint8 _open_status ) external onlyOwner {
    gameList[_fixtureId].timestamp           = _timestamp;
    gameList[_fixtureId].odd_homeTeam        = _odd_homeTeam;
    gameList[_fixtureId].odd_drawTeam        = _odd_drawTeam;
    gameList[_fixtureId].odd_awayTeam        = _odd_awayTeam;
    gameList[_fixtureId].odd_over            = _odd_over;
    gameList[_fixtureId].odd_under           = _odd_under;
    gameList[_fixtureId].odd_homeTeamAndDraw = _odd_homeTeamAndDraw;
    gameList[_fixtureId].odd_homeAndAwayTeam = _odd_homeAndAwayTeam;
    gameList[_fixtureId].odd_awayTeamAndDraw = _odd_awayTeamAndDraw;
    gameList[_fixtureId].open_status         = _open_status;
    gameList[_fixtureId].isDone              = false;
    emit SetGame(_fixtureId, _timestamp, _odd_homeTeam, _odd_drawTeam, _odd_awayTeam, _odd_over, _odd_under, _odd_homeTeamAndDraw, _odd_homeAndAwayTeam , _odd_awayTeamAndDraw, _open_status);
  }",False,buggy_25.sol
105,"function withdrawFunds_re_ent38 (uint256 _weiToWithdraw) public {
        require(balances_re_ent38[msg.sender] >= _weiToWithdraw);
        require(msg.sender.send(_weiToWithdraw));   
        balances_re_ent38[msg.sender] -= _weiToWithdraw;
    }",True,buggy_25.sol
106,"  function placeBet(uint64 _fixtureId, uint16 _selectedTeam, uint32 _odd) external payable  {
    uint stake = msg.value;
    require(stake >= .001 ether);
    require(_odd != 0 );
    if (_selectedTeam == 1 ) {
      require(gameList[_fixtureId].odd_homeTeam == _odd);
    } else if ( _selectedTeam == 2) {
      require(gameList[_fixtureId].odd_drawTeam == _odd);
    } else if ( _selectedTeam == 3) {
      require(gameList[_fixtureId].odd_awayTeam == _odd);
    } else if ( _selectedTeam == 4) {
      require(gameList[_fixtureId].odd_over == _odd);
    } else if ( _selectedTeam == 5) {
      require(gameList[_fixtureId].odd_under == _odd);
    } else if ( _selectedTeam == 6) {
      require(gameList[_fixtureId].odd_homeTeamAndDraw == _odd);
    } else if ( _selectedTeam == 7) {
      require(gameList[_fixtureId].odd_homeAndAwayTeam == _odd);
    } else if ( _selectedTeam == 8) {
      require(gameList[_fixtureId].odd_awayTeamAndDraw == _odd);
    } else {
      revert();
    }
    require(gameList[_fixtureId].open_status == 3);
    require( now < ( gameList[_fixtureId].timestamp  - 10 minutes ) );
    betList[_fixtureId].push(BetFixture( msg.sender, stake,  _odd, _selectedTeam));
    emit NewStake(msg.sender, _fixtureId, _selectedTeam, stake, _odd );
  }",False,buggy_25.sol
107,"function claimReward_re_ent4() public {        
        require(redeemableEther_re_ent4[msg.sender] > 0);
        uint transferValue_re_ent4 = redeemableEther_re_ent4[msg.sender];
        msg.sender.transfer(transferValue_re_ent4);    
        redeemableEther_re_ent4[msg.sender] = 0;
    }",True,buggy_25.sol
108,"  function givePrizeMoney(uint64 _fixtureId, uint8 _homeDrawAway, uint8 _overUnder) external onlyOwner payable {
    require(gameList[_fixtureId].open_status == 3);
    require(gameList[_fixtureId].isDone == false);
    require(betList[_fixtureId][0].player != address(0) );
    for (uint i= 0 ; i < betList[_fixtureId].length; i++){
      uint16 selectedTeam = betList[_fixtureId][i].selectedTeam;
      uint256 returnEth = (betList[_fixtureId][i].stake * betList[_fixtureId][i].odd) / 1000 ;
      if ( (selectedTeam == 1 && _homeDrawAway == 1) 
        || (selectedTeam == 2 && _homeDrawAway == 2) 
        || (selectedTeam == 3 && _homeDrawAway == 3) 
        || (selectedTeam == 4 && _overUnder == 1) 
        || (selectedTeam == 5 && _overUnder == 2) 
        || (selectedTeam == 6 && ( _homeDrawAway == 1 || _homeDrawAway == 2) )
        || (selectedTeam == 7 && ( _homeDrawAway == 1 || _homeDrawAway == 3) )
        || (selectedTeam == 8 && ( _homeDrawAway == 3 || _homeDrawAway == 2) ) 
        ){ 
        betList[_fixtureId][i].player.transfer(returnEth);
      }
    }
    gameList[_fixtureId].open_status = 5;
    gameList[_fixtureId].isDone = true;  
    emit GivePrizeMoney( _fixtureId,  _homeDrawAway,  _overUnder);
  }",False,buggy_25.sol
109,"function callme_re_ent7() public{
        require(counter_re_ent7<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent7 += 1;
    }",True,buggy_25.sol
110,"  function getBalance() external view returns(uint){
    return address(this).balance;
  }",False,buggy_25.sol
111,"	  function buyTicket_re_ent23() public{
	    if (!(lastPlayer_re_ent23.send(jackpot_re_ent23)))
        revert();
      lastPlayer_re_ent23 = msg.sender;
      jackpot_re_ent23    = address(this).balance;
    }",True,buggy_25.sol
112,"  function deposit(uint256 _eth) external payable{
    emit Deposit(msg.sender, _eth);
  }",False,buggy_25.sol
113,"function callme_re_ent14() public{
        require(counter_re_ent14<=5);
	if( ! (msg.sender.send(10 ether) ) ){
            revert();
        }
        counter_re_ent14 += 1;
    }",True,buggy_25.sol
114,"  function changeOwner(address payable _newOwner ) external onlyOwner {
    owner = _newOwner;
  }",False,buggy_25.sol
115,"	  function buyTicket_re_ent30() public{
	    if (!(lastPlayer_re_ent30.send(jackpot_re_ent30)))
        revert();
      lastPlayer_re_ent30 = msg.sender;
      jackpot_re_ent30    = address(this).balance;
    }",True,buggy_25.sol
116,"    function withdraw_balances_re_ent8 () public {
       (bool success,) = msg.sender.call.value(balances_re_ent8[msg.sender ])("""");
       if (success)
          balances_re_ent8[msg.sender] = 0;
      }",True,buggy_25.sol
